authors,publication_year,title,journal,doi,affiliations
DOUGHERTY LR,2021,META-ANALYSIS SHOWS THE EVIDENCE FOR CONTEXT-DEPENDENT MATING BEHAVIOUR IS INCONSISTENT OR WEAK ACROSS ANIMALS,ECOLOGY LETTERS,10.1111/ELE.13679,"INSTITUTE OF INTEGRATIVE BIOLOGY, UNIVERSITY OF LIVERPOOL, LIVERPOOL, L69 7RB, UNITED KINGDOM"
WINTERNITZ J;ABBATE JL;HUCHARD E;HAVLÍČEK J;GARAMSZEGI LZ,2017,PATTERNS OF MHC-DEPENDENT MATE SELECTION IN HUMANS AND NONHUMAN PRIMATES: A META-ANALYSIS,MOLECULAR ECOLOGY,10.1111/MEC.13920,"DEPARTMENT OF EVOLUTIONARY ECOLOGY, MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY, AUGUST-THIENEMANN-STRASSE 2, PLOEN, 24306, GERMANY; INSTITUTE OF VERTEBRATE BIOLOGY, CZECH ACADEMY OF SCIENCES, V.V.I., KVĚTNÁ 8, BRNO, 603 65, CZECH REPUBLIC; INSTITUTE OF BOTANY, CZECH ACADEMY OF SCIENCES, V.V.I., LIDICKÁ 25/27, BRNO, 657 20, CZECH REPUBLIC; INSTITUTE OF ECOLOGY AND EVOLUTION, UNIVERSITY OF BERN, BALTERSTRASSE 6, BERN, 3006, SWITZERLAND; INRA - UMR 1062 CBGP (INRA, IRD, CIRAD, MONTPELLIER SUPAGRO), 755 AVENUE DU CAMPUS AGROPOLIS, MONTFERRIER-SUR-LEZ, 34988, FRANCE; CEFE UMR5175, CNRS - UNIVERSITÉ DE MONTPELLIER - EPHE, 1919 ROUTE DE MENDE, MONTPELLIER CEDEX 5, 34295, FRANCE; DEPARTMENT OF ZOOLOGY, FACULTY OF SCIENCE, CHARLES UNIVERSITY, VINIČNÁ 7, PRAGUE 2, 128 44, CZECH REPUBLIC; DEPARTMENT OF EVOLUTIONARY ECOLOGY, ESTACIÓN BIOLÓGICA DE DOÑANA-CSIC, C/AMERICO VESPUCIO, S/N, SEVILLE, 41092, SPAIN"
HSU YH;SCHROEDER J;WINNEY I;BURKE T;NAKAGAWA S,2015,ARE EXTRA-PAIR MALES DIFFERENT FROM CUCKOLDED MALES? A CASE STUDY AND A META-ANALYTIC EXAMINATION,MOLECULAR ECOLOGY,10.1111/MEC.13124,"DEPARTMENT OF ZOOLOGY, UNIVERSITY OF OTAGO, DUNEDIN, NEW ZEALAND; EVOLUTIONARY BIOLOGY, MAX PLANCK INSTITUTE FOR ORNITHOLOGY, SEEWIESEN, GERMANY; DEPARTMENT OF ANIMAL AND PLANT SCIENCES, UNIVERSITY OF SHEFFIELD, SHEFFIELD, UNITED KINGDOM; DEPARTMENT OF LIFE SCIENCE, NATIONAL TAIWAN NORMAL UNIVERSITY, TAIPEI, TAIWAN"
ARCT A;DROBNIAK SM;CICHOŃ M,2015,GENETIC SIMILARITY BETWEEN MATES PREDICTS EXTRAPAIR PATERNITY-A META-ANALYSIS OF BIRD STUDIES,BEHAVIORAL ECOLOGY,10.1093/BEHECO/ARV004,"INSTITUTE OF ENVIRONMENTAL SCIENCES, JAGIELLONIAN UNIVERSITY, GRONOSTAJOWA 7, KRAKÓW, 30-387, POLAND"
KAMIYA T;O'DWYER K;WESTERDAHL H;SENIOR A;NAKAGAWA S,2014,A QUANTITATIVE REVIEW OF MHC-BASED MATING PREFERENCE: THE ROLE OF DIVERSITY AND DISSIMILARITY,MOLECULAR ECOLOGY,10.1111/MEC.12934,"LABORATOIRE MIVEGEC (UMR CNRS 5290, UR IRD 224, UM1, UM2), 911 AVENUE AGROPOLIS, MONTPELLIER CEDEX 5, 34394, FRANCE; DEPARTMENT OF ZOOLOGY, UNIVERSITY OF OTAGO, 360 GREAT KING STREET, DUNEDIN, NEW ZEALAND; MOLECULAR ECOLOGY AND EVOLUTION LAB, DEPARTMENT OF BIOLOGY, LUND UNIVERSITY, LUND, SE-223 62, SWEDEN; CHARLES PERKINS CENTER, UNIVERSITY OF SYDNEY, SYDNEY, 2006, NSW, AUSTRALIA; SCHOOL OF BIOLOGICAL SCIENCES, UNIVERSITY OF SYDNEY, SYDNEY, 2006, NSW, AUSTRALIA"
FROMONTEIL S;MARIE-ORLEACH L;WINKLER L;JANICKE T,2023,SEXUAL SELECTION IN FEMALES AND THE EVOLUTION OF POLYANDRY,PLOS BIOLOGY,10.1371/JOURNAL.PBIO.3001916,"CEFE, UNIV MONTPELLIER, CNRS, EPHE, IRD, MONTPELLIER, FRANCE; NATURAL HISTORY MUSEUM, UNIVERSITY OF OSLO, OSLO, NORWAY; CNRS, UNIVERSITÉ DE RENNES 1, ECOBIO (ÉCOSYSTÈMES, BIODIVERSITÉ, ÉVOLUTION), UMR 6553, RENNES, FRANCE; APPLIED ZOOLOGY, TU DRESDEN, DRESDEN, GERMANY"
WHITE TE;LATTY T;UMBERS KDL,2022,THE EXPLOITATION OF SEXUAL SIGNALS BY PREDATORS: A META-ANALYSIS,PROCEEDINGS OF THE ROYAL SOCIETY B: BIOLOGICAL SCIENCES,10.1098/RSPB.2022.0444,"SCHOOL OF LIFE AND ENVIRONMENTAL SCIENCES, UNIVERSITY OF SYDNEY, SYDNEY, 2106, AUSTRALIA; SCHOOL OF SCIENCE, WESTERN SYDNEY UNIVERSITY, SYDNEY, 2751, NSW, AUSTRALIA; HAWKESBURY INSTITUTE FOR THE ENVIRONMENT, WESTERN SYDNEY UNIVERSITY, PENRITH, 2751, NSW, AUSTRALIA"
CULINA A;RADERSMA R;SHELDON BC,2015,TRADING UP: THE FITNESS CONSEQUENCES OF DIVORCE IN MONOGAMOUS BIRDS,BIOLOGICAL REVIEWS,10.1111/BRV.12143,"EDWARD GREY INSTITUTE, DEPARTMENT OF ZOOLOGY, UNIVERSITY OF OXFORD, OXFORD, OX1 3PS, UNITED KINGDOM"
DOUGHERTY LR;SHUKER DM,2015,THE EFFECT OF EXPERIMENTAL DESIGN ON THE MEASUREMENT OF MATE CHOICE: A META-ANALYSIS,BEHAVIORAL ECOLOGY,10.1093/BEHECO/ARU125,"CENTRE FOR BIOLOGICAL DIVERSITY, SCHOOL OF BIOLOGY, UNIVERSITY OF ST.ANDREWS, HAROLD MITCHELL BUILDING, ST.ANDREWS, KY14 7AU, UNITED KINGDOM"
WHITE TE,2020,STRUCTURAL COLOURS REFLECT INDIVIDUAL QUALITY: A META-ANALYSIS,BIOLOGY LETTERS,10.1098/RSBL.2020.0001,"SCHOOL OF LIFE AND ENVIRONMENTAL SCIENCES, UNIVERSITY OF SYDNEY, SYDNEY, 2106, NSW, AUSTRALIA"
LÜPOLD S;DE BOER RA;EVANS JP;TOMKINS JL;FITZPATRICK JL,2020,HOW SPERM COMPETITION SHAPES THE EVOLUTION OF TESTES AND SPERM: A META-ANALYSIS: SPERM COMPETITION META-ANALYSIS,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B: BIOLOGICAL SCIENCES,10.1098/RSTB.2020.0064,"DEPARTMENT OF EVOLUTIONARY BIOLOGY AND ENVIRONMENTAL STUDIES, UNIVERSITY OF ZURICH, WINTERTHURERSTRASSE 190, ZURICH, 8057, SWITZERLAND; DEPARTMENT OF ZOOLOGY/ETHOLOGY, STOCKHOLM UNIVERSITY, SVANTE ARRHENIUS VÄG 18B, STOCKHOLM, 10691, SWEDEN; CENTRE FOR EVOLUTIONARY BIOLOGY, SCHOOL OF BIOLOGICAL SCIENCES (M092), UNIVERSITY OF WESTERN AUSTRALIA, CRAWLEY, WESTERN AUSTRALIA, 6009, AUSTRALIA"
SOUTH A;LEWIS SM,2011,THE INFLUENCE OF MALE EJACULATE QUANTITY ON FEMALE FITNESS: A META-ANALYSIS,BIOLOGICAL REVIEWS,10.1111/J.1469-185X.2010.00145.X,"DEPARTMENT OF BIOLOGY, TUFTS UNIVERSITY, MEDFORD, MA 02155, UNITED STATES"
VOJE KL,2015,"SCALING OF MORPHOLOGICAL CHARACTERS ACROSS TRAIT TYPE, SEX, AND ENVIRONMENT: A META-ANALYSIS OF STATIC ALLOMETRIES",AMERICAN NATURALIST,10.1086/684159,"DEPARTMENT OF BIOSCIENCES, CENTRE FOR ECOLOGICAL AND EVOLUTIONARY SYNTHESIS, UNIVERSITY OF OSLO, P.O. BOX 1066, BLINDERN, OSLO, NO-0316, NORWAY"
IHLE M;FORSTMEIER W,2013,REVISITING THE EVIDENCE FOR INBREEDING AVOIDANCE IN ZEBRA FINCHES,BEHAVIORAL ECOLOGY,10.1093/BEHECO/ART074,"DEPARTMENT OF BEHAVIOURAL ECOLOGY AND EVOLUTIONARY GENETICS, MAX PLANCK INSTITUTE FOR ORNITHOLOGY, 82319 SEEWIESEN, EBERHARD-GWINNER-STRASSE 7-8, GERMANY"
CLEASBY IR;NAKAGAWA S,2012,THE INFLUENCE OF MALE AGE ON WITHIN-PAIR AND EXTRA-PAIR PATERNITY IN PASSERINES,IBIS,10.1111/J.1474-919X.2011.01209.X,"DEPARTMENT OF ANIMAL AND PLANT SCIENCES, UNIVERSITY OF SHEFFIELD, SHEFFIELD S10 2TN, UNITED KINGDOM; DEPARTMENT OF ZOOLOGY, UNIVERSITY OF OTAGO, DUNEDIN 9054, PO BOX 56, NEW ZEALAND"
ROMANO A;COSTANZO A;RUBOLINI D;SAINO N;MØLLER AP,2017,GEOGRAPHICAL AND SEASONAL VARIATION IN THE INTENSITY OF SEXUAL SELECTION IN THE BARN SWALLOW HIRUNDO RUSTICA: A META-ANALYSIS,BIOLOGICAL REVIEWS,10.1111/BRV.12297,"DIPARTIMENTO DI BIOSCIENZE, UNIVERSITÀ DEGLI STUDI DI MILANO, VIA CELORIA 26, MILANO, I-20133, ITALY; ECOLOGIE SYSTÉMATIQUE EVOLUTION, CNRS, UNIVERSITÉ PARIS-SUD, AGROPARISTECH, UNIVERSITÉ PARIS-SACLAY, ORSAY, F-91400, FRANCE"
HERNÁNDEZ A;MARTÍNEZ-GÓMEZ M;BEAMONTE-BARRIENTOS R;MONTOYA B,2021,"COLOURFUL TRAITS IN FEMALE BIRDS RELATE TO INDIVIDUAL CONDITION, REPRODUCTIVE PERFORMANCE AND MALE-MATE PREFERENCES: A META-ANALYTIC APPROACH",BIOLOGY LETTERS,10.1098/RSBL.2021.0283,"DOCTORADO EN CIENCIAS BIOLÓGICAS, CENTRO TLAXCALA DE BIOLOGÍA DE LA CONDUCTA (CTBC), UNIVERSIDAD AUTÓNOMA DE TLAXCALA, TLAXCALA, MEXICO; FACULTAD DE CIENCIAS, UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO, MÉXICO CITY, MEXICO; DEPARTAMENTO DE BIOLOGÍA CELULAR Y FISIOLOGÍA, INSTITUTO DE INVESTIGACIONES BIOMÉDICAS, UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO, MÉXICO CITY, MEXICO; ESTACIÓN CIENTÍFICA LA MALINCHE, CENTRO TLAXCALA DE BIOLOGÍA DE LA CONDUCTA (CTBC), UNIVERSIDAD AUTÓNOMA DE TLAXCALA, TLAXCALA, MEXICO"
SANTOS ESA;SCHECK D;NAKAGAWA S,2011,DOMINANCE AND PLUMAGE TRAITS: META-ANALYSIS AND METAREGRESSION ANALYSIS,ANIMAL BEHAVIOUR,10.1016/J.ANBEHAV.2011.03.022,"DEPARTMENT OF ZOOLOGY, UNIVERSITY OF OTAGO, NEW ZEALAND; AGROCAMPUS OUEST, RENNES, FRANCE"
NOLAZCO S;DELHEY K;NAKAGAWA S;PETERS A,2022,ORNAMENTS ARE EQUALLY INFORMATIVE IN MALE AND FEMALE BIRDS,NATURE COMMUNICATIONS,10.1038/S41467-022-33548-7,"SCHOOL OF BIOLOGICAL SCIENCES, MONASH UNIVERSITY, 25 RAINFOREST WALK, CLAYTON, 3800, VIC, AUSTRALIA; MAX PLANCK INSTITUTE FOR ORNITHOLOGY, SEEWIESEN, GERMANY; EVOLUTION & ECOLOGY RESEARCH CENTRE AND SCHOOL OF BIOLOGICAL, EARTH AND ENVIRONMENTAL SCIENCES, UNIVERSITY OF NEW SOUTH WALES, SYDNEY, 2052, NSW, AUSTRALIA"
SIMONS MJP;COHEN AA;VERHULST S,2012,WHAT DOES CAROTENOID-DEPENDENT COLORATION TELL? PLASMA CAROTENOID LEVEL SIGNALS IMMUNOCOMPETENCE AND OXIDATIVE STRESS STATE IN BIRDS-A META-ANALYSIS,PLOS ONE,10.1371/JOURNAL.PONE.0043088,"BEHAVIOURAL BIOLOGY, UNIVERSITY OF GRONINGEN, GRONINGEN, NETHERLANDS; DEPARTMENT OF FAMILY MEDICINE, UNIVERSITY OF SHERBROOKE, SHERBROOKE, QC, CANADA"
GREEN DM,2019,RARITY OF SIZE-ASSORTATIVE MATING IN ANIMALS: ASSESSING THE EVIDENCE WITH ANURAN AMPHIBIANS,AMERICAN NATURALIST,10.1086/701124,"REDPATH MUSEUM, MCGILL UNIVERSITY, 859 SHERBROOKE STREET WEST, MONTREAL, H3A 0C4, QC, CANADA"
DOUGHERTY LR;SHUKER DM,2016,VARIATION IN PRE- AND POST-COPULATORY SEXUAL SELECTION ON MALE GENITAL SIZE IN TWO SPECIES OF LYGAEID BUG,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,10.1007/S00265-016-2082-6,"SCHOOL OF BIOLOGY, UNIVERSITY OF ST ANDREWS, ST ANDREWS, KY16 9TH, UNITED KINGDOM; CENTRE FOR EVOLUTIONARY BIOLOGY, SCHOOL OF ANIMAL BIOLOGY, THE UNIVERSITY OF WESTERN AUSTRALIA, CRAWLEY, 6009, WA, AUSTRALIA"
SLATYER RA;MAUTZ BS;BACKWELL PRY;JENNIONS MD,2012,ESTIMATING GENETIC BENEFITS OF POLYANDRY FROM EXPERIMENTAL STUDIES: A META-ANALYSIS,BIOLOGICAL REVIEWS,10.1111/J.1469-185X.2011.00182.X,"EVOLUTION, ECOLOGY AND GENETICS, RESEARCH SCHOOL OF BIOLOGY, THE AUSTRALIAN NATIONAL UNIVERSITY, CANBERRA, ACT 0200, AUSTRALIA"
MENEZES JCT;PALAORO AV,2022,FLIGHT HAMPERS THE EVOLUTION OF WEAPONS IN BIRDS,ECOLOGY LETTERS,10.1111/ELE.13964,"ORGANISMIC AND EVOLUTIONARY BIOLOGY GRADUATE PROGRAM, UNIVERSITY OF MASSACHUSETTS AMHERST, AMHERST, MA, UNITED STATES; DEPARTMENT OF ECOLOGY AND EVOLUTIONARY BIOLOGY, FEDERAL UNIVERSITY OF SÃO PAULO, SP, DIADEMA, BRAZIL; PROGRAMA DE PÓS-GRADUAÇÃO EM ECOLOGIA, UNIVERSITY OF SÃO PAULO, SP, SÃO PAULO, BRAZIL"
POLLO P;NAKAGAWA S;KASUMOVIC MM,2022,"THE BETTER, THE CHOOSIER: A META-ANALYSIS ON INTERINDIVIDUAL VARIATION OF MALE MATE CHOICE",ECOLOGY LETTERS,10.1111/ELE.13981,"EVOLUTION & ECOLOGY RESEARCH CENTRE, SCHOOL OF BIOLOGICAL, EARTH & ENVIRONMENTAL SCIENCES, UNIVERSITY OF NEW SOUTH WALES, KENSINGTON, SYDNEY, AUSTRALIA"
GUINDRE-PARKER S;LOVE OP,2014,REVISITING THE CONDITION-DEPENDENCE OF MELANIN-BASED PLUMAGE,JOURNAL OF AVIAN BIOLOGY,10.1111/J.1600-048X.2013.00190.X,"DEPT OF BIOLOGICAL SCIENCES, UNIV. OF WINDSOR, WINDSOR, ONN9B 3P4, CANADA; DEPT OF ECOLOGY, EVOLUTION AND ENVIRONMENTAL BIOLOGY, COLUMBIA UNIV., NEW YORK, NY 10027, 1200 AMSTERDAM AVENUE, UNITED STATES"
HEGYI G;KÖTÉL D;LACZI M,2015,DIRECT BENEFITS OF MATE CHOICE: A META-ANALYSIS OF PLUMAGE COLOUR AND OFFSPRING FEEDING RATES IN BIRDS,SCIENCE OF NATURE,10.1007/S00114-015-1311-6,"BEHAVIOURAL ECOLOGY GROUP, DEPARTMENT OF SYSTEMATIC ZOOLOGY AND ECOLOGY, EÖTVÖS LORÁND UNIVERSITY, PAZMANY PETER SETANY 1/C, BUDAPEST, 1117, HUNGARY"
KELLY CD;JENNIONS MD,2011,SEXUAL SELECTION AND SPERM QUANTITY: META-ANALYSES OF STRATEGIC EJACULATION,BIOLOGICAL REVIEWS,10.1111/J.1469-185X.2011.00175.X,"DEPARTMENT OF ECOLOGY, EVOLUTION AND ORGANISMAL BIOLOGY, IOWA STATE UNIVERSITY, AMES, IA 50011, UNITED STATES; EVOLUTION, ECOLOGY AND GENETICS, RESEARCH SCHOOL OF BIOLOGY, THE AUSTRALIAN NATIONAL UNIVERSITY, CANBERRA, ACT 0200, AUSTRALIA"
RODRÍGUEZ RL;EBERHARD WG,2019,WHY THE STATIC ALLOMETRY OF SEXUALLY-SELECTED TRAITS IS SO VARIABLE: THE IMPORTANCE OF FUNCTION,INTEGRATIVE AND COMPARATIVE BIOLOGY,10.1093/ICB/ICZ039,"DEPARTMENT OF BIOLOGICAL SCIENCES, BEHAVIORAL AND MOLECULAR ECOLOGY GROUP, UNIVERSITY OF WISCONSIN-MILWAUKEE, MILWAUKEE, 53201, WI, UNITED STATES; ESCUELA DE BIOLOGÍA, UNIVERSIDAD DE COSTA RICA, CIUDAD UNIVERSITARIA, SAN JOSÉ, COSTA RICA"
MACARTNEY EL;CREAN AJ;NAKAGAWA S;BONDURIANSKY R,2019,EFFECTS OF NUTRIENT LIMITATION ON SPERM AND SEMINAL FLUID: A SYSTEMATIC REVIEW AND META-ANALYSIS,BIOLOGICAL REVIEWS,10.1111/BRV.12524,"EVOLUTION AND ECOLOGY RESEARCH CENTRE AND SCHOOL OF BIOLOGICAL, EARTH AND ENVIRONMENTAL SCIENCES, UNSW AUSTRALIA, SYDNEY, NSW, AUSTRALIA; SYDNEY SCHOOL OF VETERINARY SCIENCE, THE UNIVERSITY OF SYDNEY, SYDNEY, NSW, AUSTRALIA"
PROKOP ZM;MICHALCZYK;DROBNIAK SM;HERDEGEN M;RADWAN J,2012,"META-ANALYSIS SUGGESTS CHOOSY FEMALES GET SEXY SONS MORE THAN ""GOOD GENES""",EVOLUTION,10.1111/J.1558-5646.2012.01654.X,"INSTITUTE OF ENVIRONMENTAL SCIENCES, JAGIELLONIAN UNIVERSITY, 30-387 KRAKÓW, GRONOSTAJOWA 7, POLAND; SCHOOL OF BIOLOGICAL SCIENCES, UNIVERSITY OF EAST ANGLIA, NORWICH NR4 7TJ, NORWICH RESEARCH PARK, UNITED KINGDOM"
ORD TJ;KING L;YOUNG AR,2011,CONTRASTING THEORY WITH THE EMPIRICAL DATA OF SPECIES RECOGNITION,EVOLUTION,10.1111/J.1558-5646.2011.01319.X,"EVOLUTION AND ECOLOGY RESEARCH CENTRE, SCHOOL OF BIOLOGICAL, EARTH AND ENVIRONMENTAL SCIENCES, UNIVERSITY OF NEW SOUTH WALES, KENSINGTON, NSW 2052, AUSTRALIA; DEPARTMENT OF ORGANISMIC AND EVOLUTIONARY BIOLOGY, MUSEUM OF COMPARATIVE ZOOLOGY, HARVARD UNIVERSITY, CAMBRIDGE, MA 02138, UNITED STATES"
DELBARCO-TRILLO J,2011,ADJUSTMENT OF SPERM ALLOCATION UNDER HIGH RISK OF SPERM COMPETITION ACROSS TAXA: A META-ANALYSIS,JOURNAL OF EVOLUTIONARY BIOLOGY,10.1111/J.1420-9101.2011.02293.X,"DEPARTMENT OF EVOLUTIONARY ANTHROPOLOGY, DUKE UNIVERSITY, DURHAM, NC 27708, 128 BIOLOGICAL SCIENCES BUILDING, BOX 90383, UNITED STATES"
DE BOER RA;VEGA-TREJO R;KOTRSCHAL A;FITZPATRICK JL,2021,META-ANALYTIC EVIDENCE THAT ANIMALS RARELY AVOID INBREEDING,NATURE ECOLOGY AND EVOLUTION,10.1038/S41559-021-01453-9,"DEPARTMENT OF ZOOLOGY: ETHOLOGY, STOCKHOLM UNIVERSITY, STOCKHOLM, SWEDEN; DEPARTMENT OF ANIMAL SCIENCES: BEHAVIOURAL ECOLOGY, WAGENINGEN UNIVERSITY & RESEARCH, WAGENINGEN, NETHERLANDS"
PROKUDA AY;ROFF DA,2014,"THE QUANTITATIVE GENETICS OF SEXUALLY SELECTED TRAITS, PREFERRED TRAITS AND PREFERENCE: A REVIEW AND ANALYSIS OF THE DATA",JOURNAL OF EVOLUTIONARY BIOLOGY,10.1111/JEB.12483,"DEPARTMENT OF BIOLOGY, UNIVERSITY OF CALIFORNIA, RIVERSIDE, CA, UNITED STATES"
WANG D;FORSTMEIER W;VALCU M;DINGEMANSE NJ;BULLA M;BOTH C;DUCKWORTH RA;KIERE LM;KARELL P;ALBRECHT T;KEMPENAERS B,2019,SCRUTINIZING ASSORTATIVE MATING IN BIRDS,PLOS BIOLOGY,10.1371/JOURNAL.PBIO.3000156,"DEPARTMENT OF BEHAVIOURAL ECOLOGY AND EVOLUTIONARY GENETICS, MAX PLANCK INSTITUTE FOR ORNITHOLOGY, SEEWIESEN, GERMANY; BEHAVIOURAL ECOLOGY, DEPARTMENT OF BIOLOGY, LUDWIG MAXIMILIANS UNIVERSITY OF MUNICH, PLANEGG-MARTINSRIED, GERMANY; NIOZ ROYAL NETHERLANDS INSTITUTE FOR SEA RESEARCH, DEPARTMENT OF COASTAL SYSTEMS AND UTRECHT UNIVERSITY, DEN BURG, NETHERLANDS; DEPARTMENT OF ECOLOGY, FACULTY OF ENVIRONMENTAL SCIENCES, CZECH UNIVERSITY OF LIFE SCIENCES PRAGUE, KAMÝCKÁ, PRAGUE, CZECH REPUBLIC; CONSERVATION ECOLOGY GROUP, GRONINGEN INSTITUTE FOR EVOLUTIONARY LIFE SCIENCES, UNIVERSITY OF GRONINGEN, GRONINGEN, NETHERLANDS; DEPARTMENT OF ECOLOGY AND EVOLUTIONARY BIOLOGY, UNIVERSITY OF ARIZONA, TUCSON, AZ, UNITED STATES; CENTER FOR THE STUDY OF BIODIVERSITY AND CONSERVATION (CIBYC), AUTONOMOUS UNIVERSITY OF THE STATE OF MORELOS, CUERNAVACA MORELOS, MEXICO; INSTITUTE OF ECOLOGY, DEPARTMENT OF EVOLUTIONARY ECOLOGY, UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO, DISTRITO FEDERAL, MEXICO CITY, MEXICO; BIOECONOMY RESEARCH TEAM, NOVIA UNIVERSITY OF APPLIED SCIENCES, RASEBORGSVÄGEN, EKENÄS, FINLAND; INSTITUTE OF VERTEBRATE BIOLOGY OF THE CZECH ACADEMY OF SCIENCES, BRNO, CZECH REPUBLIC; FACULTY OF SCIENCE, CHARLES UNIVERSITY, PRAGUE, CZECH REPUBLIC"
RIOS MOURA R;OLIVEIRA GONZAGA M;SILVA PINTO N;VASCONCELLOS-NETO J;REQUENA GS,2021,ASSORTATIVE MATING IN SPACE AND TIME: PATTERNS AND BIASES,ECOLOGY LETTERS,10.1111/ELE.13690,"NÚCLEO DE EXTENSÃO E PESQUISA EM ECOLOGIA E EVOLUÇÃO (NEPEE), DEPARTAMENTO DE CIÊNCIAS BIOLÓGICAS, UNIVERSIDADE DO ESTADO DE MINAS GERAIS, ITUIUTABA, MINAS GERAIS, BRAZIL; INSTITUTO DE BIOLOGIA, UNIVERSIDADE FEDERAL DE UBERLÂNDIA, UBERLÂNDIA, MINAS GERAIS, BRAZIL; COORDENAÇÃO DO NÚCLEO DE EXTENSÃO, PESQUISA E PÓS-GRADUAÇÃO, DEPARTAMENTO DE BIOLOGIA, CENTRO UNIVERSITÁRIO ARAGUAIA, GOIÂNIA, GOIÁS, BRAZIL; DEPARTAMENTO DE BIOLOGIA ANIMAL, UNIVERSIDADE ESTADUAL DE CAMPINAS, CAMPINAS, SÃO PAULO, BRAZIL; ‘SCIENCE YOURSELF’ INITIATIVE, CT, UNITED STATES"
HARTS AMF;BOOKSMYTHE I;JENNIONS MD,2016,MATE GUARDING AND FREQUENT COPULATION IN BIRDS: A META-ANALYSIS OF THEIR RELATIONSHIP TO PATERNITY AND MALE PHENOTYPE,EVOLUTION,10.1111/EVO.13081,"EVOLUTION, ECOLOGY AND GENETICS, RESEARCH SCHOOL OF BIOLOGY, THE AUSTRALIAN NATIONAL UNIVERSITY, CANBERRA, 0200, ACT, AUSTRALIA; INSTITUTE OF EVOLUTIONARY BIOLOGY AND ENVIRONMENTAL STUDIES, UNIVERSITY OF ZURICH, ZURICH, SWITZERLAND; WISSENSCHAFTSKOLLEG ZU BERLIN, WALLOTSTRASSE 19, BERLIN, 14193, GERMANY"
VIEIRA MC;PEIXOTO PEC,2013,WINNERS AND LOSERS: A META-ANALYSIS OF FUNCTIONAL DETERMINANTS OF FIGHTING ABILITY IN ARTHROPOD CONTESTS,FUNCTIONAL ECOLOGY,10.1111/1365-2435.12051,"DEPARTAMENTO DE BIOLOGIA, UNIVERSIDADE FEDERAL DO CEARÁ, CEARÁ, BRAZIL; DEPARTAMENTO DE CIÊNCIAS BIOLÓGICAS, UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA, FEIRA DE SANTANA CEP 44031-460, BAHIA, BRAZIL; DEPARTAMENTO DE ECOLOGIA, INSTITUTO DE CIÊNCIAS BIOLÓGICAS, UNIVERSIDADE FEDERAL DE GOIÁS, GOIÁS, BRAZIL"
DE JONG K;FORSGREN E;SANDVIK H;AMUNDSEN T,2012,MEASURING MATING COMPETITION CORRECTLY: AVAILABLE EVIDENCE SUPPORTS OPERATIONAL SEX RATIO THEORY,BEHAVIORAL ECOLOGY,10.1093/BEHECO/ARS094,"DEPARTMENT OF BIOLOGY, NORWEGIAN UNIVERSITY OF SCIENCE AND TECHNOLOGY (NTNU), 7491 TRONDHEIM, NORWAY; NORWEGIAN INSTITUTE FOR NATURE RESEARCH (NINA), 7485 TRONDHEIM, NORWAY"
DOUGHERTY LR,2021,META-ANALYSIS REVEALS THAT ANIMAL SEXUAL SIGNALLING BEHAVIOUR IS HONEST AND RESOURCE BASED,NATURE ECOLOGY AND EVOLUTION,10.1038/S41559-021-01409-Z,"DEPARTMENT OF EVOLUTION, ECOLOGY AND BEHAVIOUR, UNIVERSITY OF LIVERPOOL, LIVERPOOL, UNITED KINGDOM"
KRAAIJEVELD K;KRAAIJEVELD-SMIT FJL;MAAN ME,2011,SEXUAL SELECTION AND SPECIATION: THE COMPARATIVE EVIDENCE REVISITED,BIOLOGICAL REVIEWS,10.1111/J.1469-185X.2010.00150.X,"ANIMAL ECOLOGY, INSTITUTE OF BIOLOGY LEIDEN, LEIDEN UNIVERSITY, 2333 BE LEIDEN, SYLVIUSWEG 72, NETHERLANDS; UNIVERSITY OF BERN, INSTITUTE OF ECOLOGY AND EVOLUTION, CH-3012 BERN, BALTZERSTRASSE 6, SWITZERLAND; EAWAG CENTRE FOR ECOLOGY, EVOLUTION AND BIOGEOCHEMISTRY, CH-6047 KASTANIENBAUM, SEESTRASSE 79, SWITZERLAND"
SENIOR AM;JOHNSON SL;NAKAGAWA S,2016,SPERM TRAITS OF MASCULINIZED FISH RELATIVE TO WILD-TYPE MALES: A SYSTEMATIC REVIEW AND META-ANALYSES,METROECONOMICA,10.1111/FAF.12096,"DEPARTMENT OF ZOOLOGY, THE UNIVERSITY OF OTAGO, 340 GREAT KING STREET, DUNEDIN, 9016, NEW ZEALAND; THE UNIVERSITY OF SYDNEY, CHARLES PERKINS CENTRE, SYDNEY, 2006, NSW, AUSTRALIA; DEPARTMENT OF ANATOMY, THE UNIVERSITY OF OTAGO, 270 GREAT KING STREET, DUNEDIN, 9016, NEW ZEALAND; SCHOOL OF BIOLOGICAL SCIENCES, THE UNIVERSITY OF SYDNEY, SYDNEY, 2006, NSW, AUSTRALIA"
